#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
22 8.07642000000000e-10 1.90359411344050e-11 -1.30832120990038e-05 -1.88578361957359e-02 4.29171174274488e-32 -2.95225343073779e-26 6.92992687570047e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
23 8.44353000000000e-10 2.08053953782207e-11 -1.42996245235697e-05 -1.85786487377355e-02 4.48296586708637e-32 -3.08644590440418e-26 6.92992102991841e-24 1.00032191846925e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
24 8.81064000000000e-10 2.26480668874018e-11 -1.55700993549523e-05 -1.82994615205046e-02 4.66725906343664e-32 -3.22063825518110e-26 6.92991492305807e-24 1.00032191846922e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
25 9.17775000000000e-10 2.45660143877749e-11 -1.68946365474030e-05 -1.80202745545612e-02 4.86869753754553e-32 -3.35483050164107e-26 6.92990855512185e-24 1.00032191846908e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
26 9.54486000000000e-10 2.65709938693003e-11 -1.82732360626179e-05 -1.77410878504232e-02 5.07134953164836e-32 -3.48902262311625e-26 6.92990192830207e-24 1.00032191846903e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
27 9.91197000000000e-10 2.86522271292573e-11 -1.97058978382034e-05 -1.74619014184323e-02 5.25616531164146e-32 -3.62321459596336e-26 6.92989504259925e-24 1.00032191846907e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
28 1.02790800000000e-09 3.08061209363131e-11 -2.11926218167880e-05 -1.71827152691061e-02 5.44407268693523e-32 -3.75740643557836e-26 6.92988789582409e-24 1.00032191846900e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
29 1.06461900000000e-09 3.30387595581671e-11 -2.27334079483925e-05 -1.69035294129627e-02 5.64421149811754e-32 -3.89159814579215e-26 6.92988049016240e-24 1.00032191846902e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
30 1.10133000000000e-09 3.53539141411197e-11 -2.43282561787400e-05 -1.66243438603438e-02 5.83759956415731e-32 -4.02578970313911e-26 6.92987282561468e-24 1.00032191846913e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
31 1.13804100000000e-09 3.77423741621040e-11 -2.59771664389270e-05 -1.63451586217673e-02 6.02011051285379e-32 -4.15998109856148e-26 6.92986489999849e-24 1.00032191846912e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
