#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
27 9.91197000000000e-10 3.25599190938107e-11 -2.49999548015898e-02 5.99740857585852e-03 5.98284447348657e-32 1.24617347523355e-28 -4.76210086051345e-27 1.00000000015214e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
28 1.02790800000000e-09 3.50156120742349e-11 -2.49999495918494e-02 5.99721311160994e-03 6.20414087880236e-32 1.34014603538618e-28 -4.93830509483231e-27 1.00000000016362e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
29 1.06461900000000e-09 3.75604816547416e-11 -2.49999439965203e-02 5.99701054666534e-03 6.42540545551451e-32 1.43753156137631e-28 -5.11449079483504e-27 1.00000000017551e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
30 1.10133000000000e-09 4.01945147759845e-11 -2.49999380018489e-02 5.99680088178497e-03 6.64663705018160e-32 1.53832968765702e-28 -5.29065729941938e-27 1.00000000018782e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
31 1.13804100000000e-09 4.29176979136423e-11 -2.49999315940832e-02 5.99658411775574e-03 6.86783450878083e-32 1.64254003587582e-28 -5.46680394755513e-27 1.00000000020054e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
32 1.17475200000000e-09 4.57300170782212e-11 -2.49999247594727e-02 5.99636025539119e-03 7.08899667689003e-32 1.75016221487609e-28 -5.64293007828658e-27 1.00000000021369e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
33 1.21146300000000e-09 4.86314578149307e-11 -2.49999174842683e-02 5.99612929553148e-03 7.31012239954508e-32 1.86119582069853e-28 -5.81903503073504e-27 1.00000000022725e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
34 1.24817400000000e-09 5.16220052033713e-11 -2.49999097547228e-02 5.99589123904342e-03 7.53121052116106e-32 1.97564043658266e-28 -5.99511814410126e-27 1.00000000024122e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
35 1.28488500000000e-09 5.47016438573461e-11 -2.49999015570906e-02 5.99564608682045e-03 7.75225988584458e-32 2.09349563296841e-28 -6.17117875766797e-27 1.00000000025561e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
36 1.32159600000000e-09 5.78703579248005e-11 -2.49998928776280e-02 5.99539383978262e-03 7.97326933744926e-32 2.21476096749776e-28 -6.34721621080230e-27 1.00000000027042e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
