step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
4600,1.688603e-07,8.669554e+00,5.391794e-12,3.398006e-04,0.000000e+00,3.439131e-04,1.318020e-04,1.331464e-07,1.467092e-08,-7.886703e-12,1.782829e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.467092e-08,0.0000,72.1699,27.8301,1.608081e+02
4700,1.725312e-07,9.597496e+00,5.968902e-12,3.441248e-04,0.000000e+00,3.409799e-04,1.870054e-04,9.320248e-08,1.450210e-08,-2.521664e-12,8.367941e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.450210e-08,0.0000,76.5640,23.4360,1.598336e+02
4800,1.762021e-07,1.016731e+01,6.323282e-12,3.406170e-04,0.000000e+00,3.414940e-04,2.441276e-04,4.882035e-08,1.448353e-08,-7.786489e-12,1.559079e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.448353e-08,0.0000,79.8600,20.1400,1.589614e+02
4900,1.798730e-07,1.042211e+01,6.481748e-12,3.402542e-04,0.000000e+00,3.418569e-04,2.970901e-04,4.438213e-09,1.446383e-08,5.027948e-12,2.335658e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.446383e-08,0.0000,82.3746,17.6254,1.581954e+02
5000,1.835438e-07,1.040754e+01,6.472684e-12,3.425826e-04,0.000000e+00,3.411009e-04,3.450518e-04,0.000000e+00,1.443852e-08,-4.390510e-13,3.167126e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.443852e-08,0.0000,84.2556,15.7444,1.583398e+02
5100,1.872147e-07,1.009310e+01,6.277130e-12,3.397401e-04,0.000000e+00,3.398611e-04,3.930118e-04,0.000000e+00,1.437581e-08,2.358073e-12,3.830621e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.437581e-08,0.0000,85.8000,14.2000,1.581210e+02
5200,1.908856e-07,9.605806e+00,5.974070e-12,3.452134e-04,0.000000e+00,3.414335e-04,4.277713e-04,0.000000e+00,1.444993e-08,4.615763e-12,4.149302e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.444993e-08,0.0000,86.9855,13.0145,1.582837e+02
5300,1.945565e-07,8.956677e+00,5.570362e-12,3.420081e-04,0.000000e+00,3.446389e-04,4.519840e-04,0.000000e+00,1.460048e-08,-3.740824e-12,4.234316e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.460048e-08,0.0000,88.1191,11.8809,1.586136e+02
5400,1.982273e-07,8.214835e+00,5.108994e-12,3.427036e-04,0.000000e+00,3.436712e-04,4.683871e-04,0.000000e+00,1.458793e-08,-6.572385e-12,3.908882e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.458793e-08,0.0000,89.0452,10.9548,1.592270e+02
5500,2.018982e-07,7.450511e+00,4.633643e-12,3.392260e-04,0.000000e+00,3.418266e-04,4.687184e-04,0.000000e+00,1.453285e-08,6.421681e-12,3.109641e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.453285e-08,0.0000,89.8667,10.1333,1.597313e+02
5600,2.055691e-07,6.753508e+00,4.200161e-12,3.407682e-04,0.000000e+00,3.414335e-04,4.588550e-04,0.000000e+00,1.455473e-08,1.559462e-12,2.433108e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.455473e-08,0.0000,90.5460,9.4540,1.605792e+02
5700,2.092400e-07,6.164597e+00,3.833904e-12,3.392865e-04,0.000000e+00,3.414940e-04,4.390603e-04,0.000000e+00,1.458313e-08,6.626885e-13,1.706758e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.458313e-08,0.0000,91.1670,8.8330,1.611450e+02
5800,2.129108e-07,5.736468e+00,3.567641e-12,3.421593e-04,0.000000e+00,3.399215e-04,4.146932e-04,0.000000e+00,1.453913e-08,-6.871085e-12,9.633341e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.453913e-08,0.0000,91.6444,8.3556,1.616483e+02
5900,2.165817e-07,5.484369e+00,3.410854e-12,3.432176e-04,0.000000e+00,3.418871e-04,3.859285e-04,0.000000e+00,1.464360e-08,1.818163e-12,5.985275e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.464360e-08,0.0000,92.0851,7.9149,1.620974e+02
6000,2.202526e-07,5.364552e+00,3.336337e-12,3.411311e-04,0.000000e+00,3.420383e-04,3.614306e-04,0.000000e+00,1.466924e-08,2.033452e-12,3.518740e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.466924e-08,0.0000,92.5114,7.4886,1.625301e+02
6100,2.239235e-07,5.389976e+00,3.352149e-12,3.414033e-04,0.000000e+00,3.433991e-04,3.370959e-04,0.000000e+00,1.473112e-08,-3.719603e-14,7.734040e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.473112e-08,0.0000,92.9115,7.0885,1.626006e+02
6200,2.275944e-07,5.549322e+00,3.451250e-12,3.403449e-04,0.000000e+00,3.424012e-04,3.133484e-04,0.000000e+00,1.469049e-08,2.942077e-14,1.657012e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.469049e-08,0.0000,93.2737,6.7263,1.626471e+02
6300,2.312652e-07,5.815244e+00,3.616633e-12,3.429757e-04,0.000000e+00,3.397703e-04,2.979230e-04,0.000000e+00,1.456056e-08,1.859255e-12,1.820684e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.456056e-08,0.0000,93.5360,6.4640,1.622614e+02
6400,2.349361e-07,6.135689e+00,3.815925e-12,3.408892e-04,0.000000e+00,3.412218e-04,2.865990e-04,0.000000e+00,1.462813e-08,-5.471739e-12,3.536748e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.462813e-08,0.0000,93.8187,6.1813,1.623879e+02
6500,2.386070e-07,6.512198e+00,4.050085e-12,3.433688e-04,0.000000e+00,3.418871e-04,2.795805e-04,0.000000e+00,1.463380e-08,2.430437e-14,5.268172e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.463380e-08,0.0000,94.0579,5.9421,1.618828e+02
6600,2.422779e-07,6.919870e+00,4.303625e-12,3.427036e-04,0.000000e+00,3.411916e-04,2.736353e-04,0.000000e+00,1.459704e-08,-1.811384e-12,6.209669e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.459704e-08,0.0000,94.2771,5.7229,1.617195e+02
6700,2.459487e-07,7.321298e+00,4.553282e-12,3.416149e-04,0.000000e+00,3.428850e-04,2.736048e-04,0.000000e+00,1.464683e-08,7.110580e-12,9.856436e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.464683e-08,0.0000,94.5100,5.4900,1.612283e+02
6800,2.496196e-07,7.691762e+00,4.783682e-12,3.408590e-04,0.000000e+00,3.426733e-04,2.780946e-04,0.000000e+00,1.462943e-08,1.916188e-12,1.151990e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.462943e-08,0.0000,94.7312,5.2688,1.610450e+02
6900,2.532905e-07,8.019636e+00,4.987595e-12,3.395889e-04,0.000000e+00,3.409194e-04,2.840402e-04,0.000000e+00,1.454175e-08,-5.476353e-13,1.320734e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.454175e-08,0.0000,94.9310,5.0690,1.607611e+02
7000,2.569614e-07,8.316012e+00,5.171918e-12,3.410404e-04,0.000000e+00,3.392865e-04,2.908281e-04,0.000000e+00,1.445511e-08,1.784032e-12,1.577269e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.445511e-08,0.0000,95.0869,4.9131,1.603880e+02
7100,2.606322e-07,8.544535e+00,5.314041e-12,3.413730e-04,0.000000e+00,3.407078e-04,3.026566e-04,0.000000e+00,1.450737e-08,1.719963e-12,1.694879e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.450737e-08,0.0000,95.2432,4.7568,1.602113e+02
7200,2.643031e-07,8.710352e+00,5.417167e-12,3.416754e-04,0.000000e+00,3.398611e-04,3.135825e-04,0.000000e+00,1.446812e-08,-2.602963e-12,1.784161e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.446812e-08,0.0000,95.3789,4.6211,1.601266e+02
7300,2.679740e-07,8.783198e+00,5.462472e-12,3.406473e-04,0.000000e+00,3.415242e-04,3.283057e-04,0.000000e+00,1.452556e-08,6.219911e-12,1.895212e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.452556e-08,0.0000,95.5302,4.4698,1.598318e+02
7400,2.716449e-07,8.786667e+00,5.464629e-12,3.416754e-04,0.000000e+00,3.416452e-04,3.410876e-04,0.000000e+00,1.453408e-08,-7.451782e-13,1.923850e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.453408e-08,0.0000,95.6647,4.3353,1.598963e+02
7500,2.753158e-07,8.722219e+00,5.424547e-12,3.422802e-04,0.000000e+00,3.398308e-04,3.531992e-04,0.000000e+00,1.445157e-08,-4.641366e-12,1.798037e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.445157e-08,0.0000,95.7709,4.2291,1.597878e+02
7600,2.789866e-07,8.606809e+00,5.352771e-12,3.424919e-04,0.000000e+00,3.443365e-04,3.620447e-04,0.000000e+00,1.465211e-08,6.333113e-13,1.592123e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.465211e-08,0.0000,95.9068,4.0932,1.599897e+02
7700,2.826575e-07,8.456214e+00,5.259113e-12,3.430362e-04,0.000000e+00,3.405566e-04,3.685500e-04,0.000000e+00,1.449836e-08,1.337342e-12,1.388526e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.449836e-08,0.0000,96.0004,3.9996,1.601336e+02
7800,2.863284e-07,8.291190e+00,5.156481e-12,3.414637e-04,0.000000e+00,3.433991e-04,3.694222e-04,0.000000e+00,1.462816e-08,-3.589863e-12,1.121050e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.462816e-08,0.0000,96.1232,3.8768,1.603323e+02
